CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,40,50,0,2017/01/01 00:00:00,2017/01/01 20:36:00,0
1,45,68,10,2017/01/01 15:12:00,2017/01/01 16:07:00,90
2,45,70,30,2017/01/01 13:45:00,2017/01/01 14:30:00,90
3,42,66,10,2017/01/01 01:05:00,2017/01/01 02:26:00,90
4,42,68,10,2017/01/01 12:07:00,2017/01/01 13:02:00,90
5,42,65,10,2017/01/01 00:15:00,2017/01/01 01:07:00,90
6,40,69,20,2017/01/01 10:21:00,2017/01/01 11:42:00,90
7,40,66,20,2017/01/01 02:50:00,2017/01/01 03:45:00,90
8,38,68,20,2017/01/01 04:15:00,2017/01/01 05:24:00,90
9,38,70,10,2017/01/01 08:54:00,2017/01/01 10:05:00,90
10,35,66,10,2017/01/01 05:57:00,2017/01/01 06:50:00,90
11,35,69,10,2017/01/01 07:28:00,2017/01/01 08:25:00,90
12,25,85,20,2017/01/01 10:52:00,2017/01/01 12:01:00,90
13,22,75,30,2017/01/01 00:30:00,2017/01/01 01:32:00,90
14,22,85,10,2017/01/01 09:27:00,2017/01/01 10:20:00,90
15,20,80,40,2017/01/01 06:24:00,2017/01/01 07:09:00,90
16,20,85,40,2017/01/01 07:55:00,2017/01/01 08:48:00,90
17,18,75,20,2017/01/01 01:39:00,2017/01/01 02:28:00,90
18,15,75,20,2017/01/01 02:59:00,2017/01/01 04:14:00,90
19,15,80,10,2017/01/01 04:38:00,2017/01/01 05:45:00,90
20,30,50,10,2017/01/01 00:10:00,2017/01/01 01:13:00,90
21,30,52,20,2017/01/01 15:14:00,2017/01/01 16:05:00,90
22,28,52,20,2017/01/01 13:32:00,2017/01/01 14:43:00,90
23,28,55,10,2017/01/01 12:12:00,2017/01/01 12:57:00,90
24,25,50,10,2017/01/01 01:05:00,2017/01/01 02:24:00,90
25,25,52,40,2017/01/01 02:49:00,2017/01/01 03:44:00,90
26,25,55,10,2017/01/01 10:22:00,2017/01/01 11:41:00,90
27,23,52,10,2017/01/01 04:21:00,2017/01/01 05:16:00,90
28,23,55,20,2017/01/01 09:06:00,2017/01/01 09:53:00,90
29,20,50,10,2017/01/01 05:58:00,2017/01/01 06:45:00,90
30,20,55,10,2017/01/01 07:29:00,2017/01/01 08:24:00,90
31,10,35,20,2017/01/01 03:20:00,2017/01/01 03:57:00,90
32,10,40,30,2017/01/01 00:31:00,2017/01/01 01:40:00,90
33,8,40,40,2017/01/01 01:27:00,2017/01/01 02:38:00,90
34,8,45,20,2017/01/01 12:31:00,2017/01/01 13:36:00,90
35,5,35,10,2017/01/01 04:43:00,2017/01/01 05:44:00,90
36,5,45,10,2017/01/01 11:05:00,2017/01/01 11:56:00,90
37,2,40,20,2017/01/01 06:23:00,2017/01/01 07:14:00,90
38,0,40,30,2017/01/01 07:59:00,2017/01/01 08:42:00,90
39,0,45,20,2017/01/01 09:27:00,2017/01/01 10:24:00,90
40,35,30,10,2017/01/01 04:24:00,2017/01/01 05:21:00,90
41,35,32,10,2017/01/01 02:46:00,2017/01/01 03:55:00,90
42,33,32,20,2017/01/01 01:08:00,2017/01/01 02:29:00,90
43,33,35,10,2017/01/01 00:16:00,2017/01/01 01:20:00,90
44,32,30,10,2017/01/01 05:59:00,2017/01/01 06:52:00,90
45,30,30,10,2017/01/01 09:01:00,2017/01/01 10:00:00,90
46,30,32,30,2017/01/01 07:28:00,2017/01/01 08:29:00,90
47,30,35,10,2017/01/01 17:34:00,2017/01/01 18:47:00,90
48,28,30,10,2017/01/01 10:32:00,2017/01/01 11:33:00,90
49,28,35,10,2017/01/01 16:41:00,2017/01/01 17:46:00,90
50,26,32,10,2017/01/01 13:35:00,2017/01/01 14:40:00,90
51,25,30,10,2017/01/01 12:05:00,2017/01/01 13:06:00,90
52,25,35,10,2017/01/01 15:12:00,2017/01/01 16:09:00,90
53,44,5,20,2017/01/01 04:46:00,2017/01/01 05:47:00,90
54,42,10,40,2017/01/01 03:06:00,2017/01/01 04:17:00,90
55,42,15,10,2017/01/01 01:35:00,2017/01/01 02:38:00,90
56,40,5,30,2017/01/01 06:25:00,2017/01/01 07:16:00,90
57,40,15,40,2017/01/01 00:35:00,2017/01/01 01:27:00,90
58,38,5,30,2017/01/01 07:51:00,2017/01/01 08:54:00,90
59,38,15,10,2017/01/01 10:51:00,2017/01/01 12:20:00,90
60,35,5,20,2017/01/01 09:22:00,2017/01/01 10:29:00,90
61,50,30,10,2017/01/01 08:51:00,2017/01/01 10:10:00,90
62,50,35,20,2017/01/01 04:22:00,2017/01/01 05:17:00,90
63,50,40,50,2017/01/01 02:51:00,2017/01/01 03:38:00,90
64,48,30,10,2017/01/01 10:32:00,2017/01/01 11:33:00,90
65,48,40,10,2017/01/01 01:16:00,2017/01/01 02:09:00,90
66,47,35,10,2017/01/01 13:46:00,2017/01/01 14:35:00,90
67,47,40,10,2017/01/01 00:12:00,2017/01/01 01:17:00,90
68,45,30,10,2017/01/01 12:14:00,2017/01/01 12:57:00,90
69,45,35,10,2017/01/01 15:16:00,2017/01/01 16:09:00,90
70,95,30,30,2017/01/01 06:27:00,2017/01/01 07:36:00,90
71,95,35,20,2017/01/01 04:53:00,2017/01/01 06:00:00,90
72,53,30,10,2017/01/01 07:30:00,2017/01/01 08:25:00,90
73,92,30,10,2017/01/01 07:58:00,2017/01/01 09:11:00,90
74,53,35,50,2017/01/01 05:53:00,2017/01/01 06:52:00,90
75,45,65,20,2017/01/01 16:37:00,2017/01/01 17:48:00,90
76,90,35,10,2017/01/01 03:23:00,2017/01/01 04:20:00,90
77,88,30,10,2017/01/01 09:34:00,2017/01/01 10:43:00,90
78,88,35,20,2017/01/01 01:49:00,2017/01/01 02:50:00,90
79,87,30,10,2017/01/01 11:08:00,2017/01/01 12:11:00,90
80,85,25,10,2017/01/01 12:49:00,2017/01/01 13:40:00,90
81,85,35,30,2017/01/01 00:47:00,2017/01/01 02:04:00,90
82,75,55,20,2017/01/01 06:09:00,2017/01/01 07:00:00,90
83,72,55,10,2017/01/01 04:25:00,2017/01/01 05:38:00,90
84,70,58,20,2017/01/01 07:38:00,2017/01/01 08:43:00,90
85,68,60,30,2017/01/01 09:15:00,2017/01/01 10:12:00,90
86,66,55,10,2017/01/01 02:53:00,2017/01/01 03:58:00,90
87,65,55,20,2017/01/01 01:25:00,2017/01/01 02:24:00,90
88,65,60,30,2017/01/01 10:45:00,2017/01/01 11:48:00,90
89,63,58,10,2017/01/01 12:17:00,2017/01/01 13:22:00,90
90,60,55,10,2017/01/01 00:20:00,2017/01/01 01:24:00,90
91,60,60,10,2017/01/01 13:56:00,2017/01/01 14:49:00,90
92,67,85,20,2017/01/01 06:08:00,2017/01/01 07:21:00,90
93,65,85,40,2017/01/01 07:55:00,2017/01/01 08:38:00,90
94,65,82,10,2017/01/01 04:45:00,2017/01/01 05:36:00,90
95,62,80,30,2017/01/01 03:16:00,2017/01/01 03:59:00,90
96,60,80,10,2017/01/01 01:35:00,2017/01/01 02:36:00,90
97,60,85,30,2017/01/01 09:21:00,2017/01/01 10:22:00,90
98,58,75,20,2017/01/01 00:30:00,2017/01/01 01:24:00,90
99,55,80,10,2017/01/01 12:23:00,2017/01/01 13:40:00,90
100,55,85,20,2017/01/01 10:47:00,2017/01/01 12:06:00,90
