CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,35.19807886,137.0112822,0,2000/1/1 9:00:00,2000/1/1 17:00:00,0
157,35.19665415,136.9598349,200,2000/1/1 9:00:00,2000/1/1 17:00:00,1
158,35.19585887,136.9594953,100,2000/1/1 9:00:00,2000/1/1 17:00:00,1
168,35.19436279,136.9619453,100,2000/1/1 9:00:00,2000/1/1 17:00:00,1
170,35.19474143,136.9615623,100,2000/1/1 9:00:00,2000/1/1 17:00:00,1
164,35.19715341,136.9674113,100,2000/1/1 9:00:00,2000/1/1 17:00:00,1
165,35.19428045,136.9664957,200,2000/1/1 9:00:00,2000/1/1 17:00:00,1
31,35.19587007,136.9735479,100,2000/1/1 9:00:00,2000/1/1 17:00:00,1
176,35.19395687,136.9558228,200,2000/1/1 9:00:00,2000/1/1 17:00:00,1
312,35.19690345,136.9943512,100,2000/1/1 9:00:00,2000/1/1 17:00:00,1
