CUST NO.,LATITUDE,LONGITUDE,DEMAND,FROM TIME,TO TIME,SERVICE TIME
0,35.19807886,137.0112822,0,2000/1/1 9:00:00,2000/1/1 17:00:00,0
156,35.1968538,136.9608624,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
157,35.19665415,136.9598349,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
159,35.19576449,136.9598317,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
161,35.19547155,136.9595865,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
163,35.19491828,136.961533,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
168,35.19436279,136.9619453,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
169,35.19477615,136.9618151,150,2000/1/1 9:00:00,2000/1/1 17:00:00,1
170,35.19474143,136.9615623,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
175,35.19497796,136.9621308,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
164,35.19715341,136.9674113,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
165,35.19428045,136.9664957,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
31,35.19587007,136.9735479,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
176,35.19395687,136.9558228,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
177,35.19432247,136.9545609,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
178,35.19490613,136.9530159,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
312,35.19690345,136.9943512,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
166,35.19457656,136.9634588,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
167,35.19458088,136.9625322,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
171,35.19367701,136.9581555,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
172,35.19376053,136.957205,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
173,35.19356632,136.956975,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
174,35.19247385,136.959796,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
251,35.19437851,136.9835449,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
252,35.19428083,136.9821236,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
253,35.19282803,136.979561,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
254,35.19522368,136.9833941,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
12,35.19289055,136.9629229,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
13,35.19289055,136.9629229,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
14,35.19278966,136.9636303,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
15,35.19260414,136.9637985,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
16,35.1927311,136.9647446,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
17,35.19197375,136.962362,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
18,35.19184681,136.9623566,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
19,35.19295676,136.9644256,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
5,35.19250459,136.9745332,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
25,35.19231793,136.9725141,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
26,35.19285825,136.9733571,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
27,35.19285825,136.9733571,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
608,35.19466577,136.9732778,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
20,35.19399304,136.9704645,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
21,35.19240574,136.9695478,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
22,35.19165817,136.96812,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
23,35.19178835,136.9672433,2,2000/1/1 9:00:00,2000/1/1 17:00:00,1
24,35.19172649,136.9666715,1,2000/1/1 9:00:00,2000/1/1 17:00:00,1
