VEHICLE NO.,BREAK NO.,FROM TIME,TO TIME,SERVICE TIME,SPOT ID(BREAK NO.)
0,b01,2000/1/1 10:00:00,2000/1/1 12:00:00,30,251
0,b02,2000/1/1 14:00:00,2000/1/1 16:00:00,30,251
0,b03,2000/1/1 18:00:00,2000/1/1 20:00:00,30,251
0,b04,2000/1/1 22:00:00,2000/1/1 23:59:00,30,251
0,b05,2000/1/2 02:00:00,2000/1/2 04:00:00,30,251
0,b06,2000/1/2 06:00:00,2000/1/2 08:00:00,30,251
0,b07,2000/1/2 10:00:00,2000/1/2 12:00:00,30,251
0,b08,2000/1/2 14:00:00,2000/1/2 16:00:00,30,251
0,b09,2000/1/2 18:00:00,2000/1/2 20:00:00,30,251
0,b010,2000/1/2 22:00:00,2000/1/2 23:59:00,30,251
0,b011,2000/1/3 02:00:00,2000/1/3 04:00:00,30,251
0,b012,2000/1/3 06:00:00,2000/1/3 08:00:00,30,251
0,b013,2000/1/3 10:00:00,2000/1/3 12:00:00,30,251
0,b014,2000/1/3 14:00:00,2000/1/3 16:00:00,30,251
0,b015,2000/1/3 18:00:00,2000/1/3 20:00:00,30,251
0,b016,2000/1/3 22:00:00,2000/1/3 23:59:00,30,251
1,b11,2000/1/1 10:00:00,2000/1/1 12:00:00,30,
1,b12,2000/1/1 14:00:00,2000/1/1 16:00:00,30,252
1,b13,2000/1/1 18:00:00,2000/1/1 20:00:00,30,252
1,b14,2000/1/1 22:00:00,2000/1/1 23:59:00,30,252
1,b15,2000/1/2 02:00:00,2000/1/2 04:00:00,30,252
1,b16,2000/1/2 06:00:00,2000/1/2 08:00:00,30,252
1,b17,2000/1/2 10:00:00,2000/1/2 12:00:00,30,252
1,b18,2000/1/2 14:00:00,2000/1/2 16:00:00,30,252
1,b19,2000/1/2 18:00:00,2000/1/2 20:00:00,30,252
1,b110,2000/1/2 22:00:00,2000/1/2 23:59:00,30,252
1,b111,2000/1/3 02:00:00,2000/1/3 04:00:00,30,252
1,b112,2000/1/3 06:00:00,2000/1/3 08:00:00,30,252
1,b113,2000/1/3 10:00:00,2000/1/3 12:00:00,30,252
1,b114,2000/1/3 14:00:00,2000/1/3 16:00:00,30,252
1,b115,2000/1/3 18:00:00,2000/1/3 20:00:00,30,252
1,b116,2000/1/3 22:00:00,2000/1/3 23:59:00,30,252
2,b21,2000/1/1 10:00:00,2000/1/1 12:00:00,30,
2,b22,2000/1/1 14:00:00,2000/1/1 16:00:00,30,253
2,b23,2000/1/1 18:00:00,2000/1/1 20:00:00,30,253
2,b24,2000/1/1 22:00:00,2000/1/1 23:59:00,30,253
2,b25,2000/1/2 02:00:00,2000/1/2 04:00:00,30,253
2,b26,2000/1/2 06:00:00,2000/1/2 08:00:00,30,253
2,b27,2000/1/2 10:00:00,2000/1/2 12:00:00,30,253
2,b28,2000/1/2 14:00:00,2000/1/2 16:00:00,30,253
2,b29,2000/1/2 18:00:00,2000/1/2 20:00:00,30,253
2,b210,2000/1/2 22:00:00,2000/1/2 23:59:00,30,253
2,b211,2000/1/3 02:00:00,2000/1/3 04:00:00,30,253
2,b212,2000/1/3 06:00:00,2000/1/3 08:00:00,30,253
2,b213,2000/1/3 10:00:00,2000/1/3 12:00:00,30,253
2,b214,2000/1/3 14:00:00,2000/1/3 16:00:00,30,253
2,b215,2000/1/3 18:00:00,2000/1/3 20:00:00,30,253
2,b216,2000/1/3 22:00:00,2000/1/3 23:59:00,30,253
3,b31,2000/1/1 10:00:00,2000/1/1 12:00:00,30,254
3,b32,2000/1/1 14:00:00,2000/1/1 16:00:00,30,254
3,b33,2000/1/1 18:00:00,2000/1/1 20:00:00,30,254
3,b34,2000/1/1 22:00:00,2000/1/1 23:59:00,30,254
3,b35,2000/1/2 02:00:00,2000/1/2 04:00:00,30,254
3,b36,2000/1/2 06:00:00,2000/1/2 08:00:00,30,254
3,b37,2000/1/2 10:00:00,2000/1/2 12:00:00,30,254
3,b38,2000/1/2 14:00:00,2000/1/2 16:00:00,30,254
3,b39,2000/1/2 18:00:00,2000/1/2 20:00:00,30,254
3,b310,2000/1/2 22:00:00,2000/1/2 23:59:00,30,254
3,b311,2000/1/3 02:00:00,2000/1/3 04:00:00,30,254
3,b312,2000/1/3 06:00:00,2000/1/3 08:00:00,30,254
3,b313,2000/1/3 10:00:00,2000/1/3 12:00:00,30,254
3,b314,2000/1/3 14:00:00,2000/1/3 16:00:00,30,254
3,b315,2000/1/3 18:00:00,2000/1/3 20:00:00,30,254
3,b316,2000/1/3 22:00:00,2000/1/3 23:59:00,30,254
